I_tot,I_detected,t_first_detection,I_t_detection
1,1,7.1000000000000005,1.0
1,0,NaN,NaN
1,1,8.1,1.0
1,1,7.1000000000000005,1.0
147,84,8.1,3.0
194,105,5.1000000000000005,4.0
1,1,5.1000000000000005,1.0
1,1,7.1000000000000005,1.0
138,93,3.1,2.0
1,1,11.100000000000001,1.0
181,114,6.1000000000000005,13.0
175,99,2.1,2.0
1,0,NaN,NaN
1,0,NaN,NaN
172,106,5.1000000000000005,7.0
1,1,6.1000000000000005,1.0
1,0,NaN,NaN
1,1,6.1000000000000005,1.0
1,1,5.1000000000000005,1.0
188,117,9.1,24.0
1,1,8.1,1.0
178,114,5.1000000000000005,23.0
180,103,5.1000000000000005,2.0
1,0,NaN,NaN
1,0,NaN,NaN
146,99,7.1000000000000005,14.0
188,115,2.1,1.0
1,1,7.1000000000000005,1.0
1,1,8.1,1.0
8,5,7.1000000000000005,7.0
1,1,7.1000000000000005,1.0
1,1,6.1000000000000005,1.0
164,109,12.100000000000001,12.0
1,0,NaN,NaN
1,1,6.1000000000000005,1.0
1,1,13.100000000000001,1.0
1,1,7.1000000000000005,1.0
1,1,8.1,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,3.1,1.0
1,1,4.1000000000000005,1.0
26,13,9.1,18.0
1,1,15.100000000000001,1.0
2,0,NaN,NaN
27,16,14.100000000000001,5.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,6.1000000000000005,1.0
2,1,9.1,2.0
1,0,NaN,NaN
1,1,7.1000000000000005,1.0
2,2,9.1,1.0
155,96,12.100000000000001,14.0
151,87,8.1,3.0
5,4,7.1000000000000005,3.0
171,108,11.100000000000001,5.0
1,0,NaN,NaN
1,1,6.1000000000000005,1.0
124,75,14.100000000000001,7.0
1,0,NaN,NaN
1,1,5.1000000000000005,1.0
1,1,9.1,1.0
176,114,14.100000000000001,4.0
1,0,NaN,NaN
167,107,11.100000000000001,4.0
174,115,8.1,4.0
1,0,NaN,NaN
168,97,11.100000000000001,1.0
149,103,2.1,7.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
167,109,5.1000000000000005,1.0
1,0,NaN,NaN
1,1,7.1000000000000005,1.0
1,0,NaN,NaN
183,111,8.1,8.0
1,1,8.1,1.0
20,14,17.1,6.0
1,1,4.1000000000000005,1.0
1,0,NaN,NaN
1,1,3.1,1.0
171,112,9.1,17.0
123,71,5.1000000000000005,6.0
1,1,5.1000000000000005,1.0
1,1,11.100000000000001,1.0
1,1,3.1,1.0
1,0,NaN,NaN
2,1,11.100000000000001,2.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
158,101,6.1000000000000005,7.0
183,112,3.1,10.0
164,101,8.1,7.0
1,1,8.1,1.0
159,100,8.1,3.0
1,1,8.1,1.0
1,1,5.1000000000000005,1.0
1,1,6.1000000000000005,1.0
1,0,NaN,NaN
1,0,NaN,NaN
169,101,5.1000000000000005,3.0
2,1,3.1,1.0
1,1,7.1000000000000005,1.0
1,1,7.1000000000000005,1.0
1,1,8.1,1.0
186,118,5.1000000000000005,2.0
26,14,8.1,14.0
1,1,7.1000000000000005,1.0
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
1,0,NaN,NaN
1,1,10.100000000000001,1.0
2,2,13.100000000000001,2.0
1,1,6.1000000000000005,1.0
171,105,9.1,14.0
1,0,NaN,NaN
158,101,6.1000000000000005,17.0
1,1,12.100000000000001,1.0
1,1,5.1000000000000005,1.0
1,0,NaN,NaN
2,0,NaN,NaN
2,1,8.1,2.0
1,0,NaN,NaN
12,7,20.1,8.0
1,1,8.1,1.0
1,1,8.1,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,14.100000000000001,1.0
173,117,14.100000000000001,25.0
1,1,12.100000000000001,1.0
1,0,NaN,NaN
1,1,9.1,1.0
1,0,NaN,NaN
1,1,9.1,1.0
1,0,NaN,NaN
1,1,9.1,1.0
1,1,13.100000000000001,1.0
1,1,4.1000000000000005,1.0
179,119,8.1,22.0
1,1,12.100000000000001,1.0
1,0,NaN,NaN
3,3,6.1000000000000005,1.0
145,81,7.1000000000000005,3.0
1,0,NaN,NaN
1,1,5.1000000000000005,1.0
2,0,NaN,NaN
7,3,7.1000000000000005,2.0
4,1,6.1000000000000005,1.0
1,0,NaN,NaN
173,107,5.1000000000000005,3.0
1,1,6.1000000000000005,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,3.1,1.0
1,1,8.1,1.0
1,1,8.1,1.0
35,13,10.100000000000001,16.0
1,0,NaN,NaN
164,104,8.1,4.0
159,100,11.100000000000001,4.0
1,0,NaN,NaN
2,2,7.1000000000000005,2.0
1,1,4.1000000000000005,1.0
165,105,6.1000000000000005,26.0
1,1,5.1000000000000005,1.0
1,0,NaN,NaN
22,15,4.1000000000000005,4.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,12.100000000000001,1.0
9,5,9.1,6.0
1,1,7.1000000000000005,1.0
1,1,8.1,1.0
1,0,NaN,NaN
157,94,9.1,10.0
1,1,8.1,1.0
1,1,6.1000000000000005,1.0
93,52,6.1000000000000005,2.0
1,0,NaN,NaN
9,7,7.1000000000000005,3.0
1,0,NaN,NaN
